rank,name,gh_org_name,cmc_link,gh_link,doublecheck,description
84,USDD,,https://coinmarketcap.com/currencies/usdd/,,,USDD is a stablecoin that aims to maintain a peg to the US Dollar.
85,Gala,,https://coinmarketcap.com/currencies/gala/,,,"Gala Games focuses on creating blockchain-based games, with GALA as its utility token for in-game transactions and rewards."
86,PancakeSwap,pancakeswap,https://coinmarketcap.com/currencies/pancakeswap/,https://github.com/pancakeswap/pancake-v3-contracts,Y,"PancakeSwap is a leading decentralized exchange on Binance Smart Chain, known for its automated market-making mechanism."
87,Chiliz,chiliz-chain,https://coinmarketcap.com/currencies/chiliz/,,Has own blockchain,"Chiliz is a digital currency for sports and entertainment platforms, powering the Socios.com fan engagement platform."
88,Blur,,https://coinmarketcap.com/currencies/blur-token/,,,"Information about ""Blur"" as a blockchain project might be limited without internet access."
89,Terra Classic,terra-money,https://coinmarketcap.com/currencies/terra-luna/,,Has own blockchain,"Terra Classic (formerly known as Terra) is a blockchain platform that originally focused on stablecoins and DeFi applications. It gained notoriety due to the collapse of its algorithmic stablecoin, UST."
91,Rocket Pool,rocket-pool,https://coinmarketcap.com/currencies/rocket-pool/,https://github.com/rocket-pool/rocketpool,"Underestimated (could include router, oracles, etc)","Rocket Pool is a decentralized Ethereum staking pool, allowing users to earn staking rewards without needing to operate a full Ethereum validator node."
93,Frax Share,FraxFinance,https://coinmarketcap.com/currencies/frax-share/,"https://github.com/FraxFinance/frax-solidity.git, https://github.com/FraxFinance/fraxlend.git, https://github.com/FraxFinance/frax-governance.git, https://github.com/FraxFinance/frax-bonds.git, https://github.com/FraxFinance/frax-ether-redemption-queue.git, https://github.com/FraxFinance/frax-oracles.git, https://github.com/FraxFinance/staked-frax-erc4626.git",Y,"Frax Share is part of the Frax Finance ecosystem, which is known for creating the first fractional-algorithmic stablecoin, Frax (FRAX)."
98,Curve DAO Token,curvefi,https://coinmarketcap.com/currencies/curve-dao-token/,,"Primarily uses Vyper, not Solidity","Curve is a decentralized exchange for stablecoins, focusing on providing efficient and low-slippage swaps."
99,Fetch.ai,fetchai,https://coinmarketcap.com/currencies/fetch/,,Has own blockchain,"Fetch.ai is a blockchain platform that aims to bring together machine learning, artificial intelligence, and decentralized ledger technology to create an economic internet."
